Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class,Duration (min),Delayed
BOM,DEL,IndiGo ,08:30:00,10:25:00,1h 55m,6153.0,2022-02-14,Economy,115,False
BOM,DEL,IndiGo ,07:45:00,09:50:00,2h 05m,5943.0,2022-02-14,Economy,125,True
BOM,DEL,Vistara ,12:25:00,14:30:00,2h 05m,6249.0,2022-02-14,Economy,125,True
BOM,DEL,IndiGo ,10:05:00,12:15:00,2h 10m,5943.0,2022-02-14,Economy,130,True
BOM,DEL,IndiGo ,13:40:00,15:50:00,2h 10m,5943.0,2022-02-14,Economy,130,True
BOM,DEL,IndiGo ,09:20:00,11:30:00,2h 10m,5943.0,2022-02-14,Economy,130,True
BOM,DEL,Air India ,08:00:00,10:15:00,2h 15m,5943.0,2022-02-14,Economy,135,True
BOM,DEL,Air India ,10:00:00,12:15:00,2h 15m,5943.0,2022-02-14,Economy,135,True
BOM,DEL,Vistara ,11:55:00,14:05:00,2h 10m,6249.0,2022-02-14,Economy,130,True
BOM,DEL,IndiGo ,11:45:00,14:00:00,2h 15m,5943.0,2022-02-14,Economy,135,True
BOM,DEL,SpiceJet ,07:20:00,09:35:00,2h 15m,6540.0,2022-02-14,Economy,135,True
BOM,DEL,SpiceJet ,10:15:00,12:30:00,2h 15m,6540.0,2022-02-14,Economy,135,True
BOM,DEL,Vistara ,10:25:00,12:40:00,2h 15m,6249.0,2022-02-14,Economy,135,True
BOM,DEL,Vistara ,14:40:00,16:55:00,2h 15m,6249.0,2022-02-14,Economy,135,True
BOM,DEL,Vistara ,08:45:00,11:00:00,2h 15m,6360.0,2022-02-14,Economy,135,True
BOM,DEL,IndiGo ,07:05:00,09:20:00,2h 15m,6153.0,2022-02-14,Economy,135,True
BOM,DEL,AirAsia India ,07:20:00,09:30:00,2h 10m,6967.0,2022-02-14,Economy,130,True
BOM,DEL,Vistara ,07:00:00,09:05:00,2h 05m,8245.0,2022-02-14,Economy,125,True
DEL,BOM,Air India ,18:00:00,20:00:00,2h,5955.0,2022-02-14,Economy,120,False
DEL,BOM,Go First ,15:30:00,17:35:00,2h 05m,5900.0,2022-02-14,Economy,125,True
DEL,BOM,Go First ,17:00:00,19:05:00,2h 05m,5900.0,2022-02-14,Economy,125,True
DEL,BOM,Air India ,20:00:00,22:10:00,2h 10m,5955.0,2022-02-14,Economy,130,True
DEL,BOM,Go First ,22:30:00,00:40:00,2h 10m,5900.0,2022-02-14,Economy,130,True
DEL,BOM,IndiGo ,17:15:00,19:25:00,2h 10m,5955.0,2022-02-14,Economy,130,True
DEL,BOM,IndiGo ,18:40:00,20:50:00,2h 10m,5955.0,2022-02-14,Economy,130,True
DEL,BOM,Air India ,19:00:00,21:15:00,2h 15m,5955.0,2022-02-14,Economy,135,True
DEL,BOM,SpiceJet ,18:55:00,21:05:00,2h 10m,6543.0,2022-02-14,Economy,130,True
DEL,BOM,Vistara ,15:30:00,17:40:00,2h 10m,6261.0,2022-02-14,Economy,130,True
